idx,size,true_h,exact_h,noisy_h,err_exact,err_noisy
188,2,-0.014749801632618952,-0.014749801632618935,-0.014754779659842981,1.734723475976807e-17,-4.978027224029555e-06
189,2,0.06847895547489433,0.06847895547489419,0.0684600210839001,-1.3877787807814457e-16,-1.893439099422134e-05
190,2,0.022281718146600838,0.0222817181466008,0.022150217547333328,-3.8163916471489756e-17,-0.0001315005992675103
191,2,0.0317070691367006,0.03170706913670056,0.031762377185448845,-4.163336342344337e-17,5.5308048748245464e-05
192,2,0.03835000258922218,0.038350002589222276,0.03832808271697397,9.71445146547012e-17,-2.1919872248206407e-05
193,2,-0.04096713919375302,-0.040967139193752944,-0.04096949043204789,7.632783294297951e-17,-2.351238294867608e-06
194,2,0.005631005125784005,0.005631005125783998,0.005572352726800753,-6.938893903907228e-18,-5.8652398983252e-05
195,2,0.006781832089130972,0.00678183208913092,0.0068534413122316035,-5.204170427930421e-17,7.160922310063111e-05
196,2,-0.007172340499788278,-0.0071723404997882725,-0.007035298549175544,5.204170427930421e-18,0.00013704195061273357
197,2,-0.04934703500508019,-0.049347035005080135,-0.04943618028606434,5.551115123125783e-17,-8.914528098415142e-05
198,2,0.020938234013837355,0.02093823401383728,0.021004882872193636,-7.632783294297951e-17,6.66488583562809e-05
199,2,-0.0748745119709631,-0.0748745119709631,-0.07480785794695939,0.0,6.6654024003715e-05
200,2,-0.0423056914315808,-0.042305691431580784,-0.0423130471574438,1.3877787807814457e-17,-7.355725863002205e-06
201,2,-0.03653913582981778,-0.03653913582981775,-0.03656195188513608,2.7755575615628914e-17,-2.2816055318300443e-05
202,2,-0.01860648211693825,-0.018606482116938244,-0.018707346620310778,6.938893903907228e-18,-0.00010086450337252681
203,2,0.037972751958996714,0.037972751958996784,0.03805169594572682,6.938893903907228e-17,7.894398673010533e-05
204,2,0.07479404216514027,0.07479404216514035,0.07473440372737877,8.326672684688674e-17,-5.963843776149447e-05
205,2,0.07775635340232619,0.07775635340232623,0.07782047583223498,4.163336342344337e-17,6.412242990878891e-05
206,2,0.03640013897260467,0.03640013897260467,0.03628396709943777,0.0,-0.00011617187316689814
207,2,0.019850830041760564,0.01985083004176058,0.019878305618724692,1.734723475976807e-17,2.747557696412828e-05
208,2,-0.10548801755394693,-0.10548801755394684,-0.10551756730261336,9.71445146547012e-17,-2.9549748666424236e-05
209,2,0.051021437106716486,0.051021437106716416,0.05129292575429967,-6.938893903907228e-17,0.0002714886475831818
210,2,0.11868887722933769,0.1186888772293375,0.118774109298527,-1.8041124150158794e-16,8.523206918931159e-05
211,2,0.020445982430054566,0.020445982430054566,0.020523457525104115,0.0,7.747509504954855e-05
212,2,0.010566157504587934,0.010566157504587918,0.01059639366828721,-1.5612511283791264e-17,3.0236163699275814e-05
213,2,0.03154397440360426,0.03154397440360421,0.03176064481147281,-4.85722573273506e-17,0.00021667040786855357
214,2,0.032895346682437036,0.03289534668243703,0.03286184476411656,-6.938893903907228e-18,-3.35019183204735e-05
215,2,0.0060910588692348906,0.006091058869234898,0.006100504853911554,7.806255641895632e-18,9.44598467666341e-06
216,2,-0.016876640244674758,-0.01687664024467473,-0.0168519189523442,2.7755575615628914e-17,2.472129233055745e-05
217,2,0.01633231917454269,0.016332319174542722,0.016421821048297074,3.122502256758253e-17,8.950187375438359e-05
218,2,-0.06193207694965919,-0.061932076949659166,-0.0618713624861761,2.0816681711721685e-17,6.071446348308862e-05
219,2,-0.0849857869709347,-0.08498578697093472,-0.08498830881668222,-1.3877787807814457e-17,-2.5218457475190137e-06
220,2,0.06144220703475751,0.061442207034757626,0.061520571290363195,1.1796119636642288e-16,7.836425560568683e-05
221,2,-0.02068006466345008,-0.020680064663450022,-0.020571342341984808,5.898059818321144e-17,0.00010872232146527314
222,2,0.03232319466499417,0.03232319466499419,0.03236330973280515,2.0816681711721685e-17,4.0115067810979343e-05
223,2,0.07018515228880183,0.07018515228880182,0.07027651938808825,-1.3877787807814457e-17,9.136709928642128e-05
224,2,0.05509191644474135,0.05509191644474124,0.05512903101675413,-1.1102230246251565e-16,3.711457201277524e-05
225,3,-0.024983984111768713,-0.02498398411176875,-0.025066817748474787,-3.8163916471489756e-17,-8.283363670607419e-05
