n,t,observable,mean,std,median,q25,q75,n_realizations
10,90,M_gen,0.1036517232,0.03226178807,0.09276190571,0.08278471063,0.1084225608,10
10,92,M_gen,0.1035607099,0.03316527,0.09269033962,0.08228741132,0.1066485134,10
10,94,M_gen,0.1045472142,0.03215336677,0.09252899297,0.08403396025,0.1073404264,10
10,96,M_gen,0.1049561025,0.03210175604,0.09496277759,0.08307280063,0.1079496792,10
10,98,M_gen,0.1048218892,0.03239064167,0.09757034105,0.08227222039,0.1064572596,10
10,100,M_gen,0.1049471101,0.03281465914,0.09861681496,0.08064280676,0.1096187986,10
10,102,M_gen,0.1050425131,0.03318840013,0.09469620697,0.08239480105,0.1090000851,10
10,104,M_gen,0.1049509933,0.03363895865,0.09616069799,0.08119234785,0.1103249405,10
10,106,M_gen,0.1056846446,0.03421970262,0.09985169279,0.08120970587,0.1095777691,10
10,108,M_gen,0.1050131785,0.03474669812,0.09675898176,0.08028178408,0.1100159938,10
10,110,M_gen,0.1065798409,0.03501872266,0.09599317336,0.08326578727,0.1119604437,10
10,112,M_gen,0.1062619264,0.03549975719,0.09370614829,0.08163424331,0.1125935188,10
10,114,M_gen,0.1067374708,0.03576340179,0.09356986404,0.0848393115,0.1138589627,10
10,116,M_gen,0.107351289,0.03616341655,0.09462148517,0.08409213857,0.1146429541,10
10,118,M_gen,0.1082369104,0.03576036272,0.09646031837,0.08304206104,0.1162388666,10
10,120,M_gen,0.1090303475,0.03599077324,0.09739361667,0.08475905957,0.1178310497,10
10,122,M_gen,0.1086812489,0.03619000785,0.09561886468,0.08477080995,0.1187470696,10
10,124,M_gen,0.1085231744,0.03555230176,0.09765311853,0.08320914938,0.1166563172,10
10,126,M_gen,0.1086802679,0.03482984274,0.09860206392,0.08432215572,0.1141510118,10
10,128,M_gen,0.1080099196,0.03549934149,0.09935978737,0.08188532231,0.1124110367,10
10,130,M_gen,0.109226094,0.03561144137,0.09812407019,0.08363302596,0.114515194,10
10,132,M_gen,0.1085045987,0.03604593302,0.09578599106,0.08296816131,0.1147338682,10
10,134,M_gen,0.1093989418,0.03543609429,0.09853077137,0.08468174954,0.1145576906,10
