n,t,observable,mean,std,median,q25,q75,n_realizations
6,312,autocorrelation,0.3637513324,0.08485122638,0.3521643346,0.3026587332,0.4054321091,30
6,314,autocorrelation,0.3652447587,0.07914964778,0.353239475,0.3043281675,0.4040271822,30
6,316,autocorrelation,0.3549120763,0.08613227222,0.3406378113,0.3037821908,0.3745479905,30
6,318,autocorrelation,0.3664097761,0.08804201098,0.3593654957,0.3059869958,0.3917862313,30
6,320,autocorrelation,0.3677965417,0.09107638688,0.3364506119,0.3179413673,0.3803239906,30
6,322,autocorrelation,0.3756913037,0.09696401722,0.3437709877,0.3317014963,0.4163492607,30
6,324,autocorrelation,0.3737721936,0.09681985586,0.3493945941,0.3172454219,0.4220609635,30
6,326,autocorrelation,0.3542631158,0.1024005253,0.3300023358,0.2870394769,0.3804295309,30
6,328,autocorrelation,0.3640605887,0.09780246097,0.3506722598,0.3039571163,0.386767766,30
6,330,autocorrelation,0.3548941048,0.09569509081,0.3375587975,0.3064677419,0.3714843414,30
6,332,autocorrelation,0.3621314046,0.09249032771,0.3364731456,0.3121515403,0.371323505,30
6,334,autocorrelation,0.3646354352,0.09439563302,0.348803242,0.3235760509,0.3804908041,30
6,336,autocorrelation,0.3581924052,0.09086480437,0.328144608,0.2880189374,0.4024879058,30
6,338,autocorrelation,0.3567625985,0.08862816598,0.3347302047,0.2980286831,0.3958913244,30
6,340,autocorrelation,0.3611315472,0.08675509141,0.340457176,0.3030812187,0.4066623821,30
6,342,autocorrelation,0.3624884918,0.08564334401,0.3324014197,0.3119728963,0.4004814918,30
6,344,autocorrelation,0.3578876851,0.07718268864,0.3410279475,0.3077340993,0.3901515179,30
6,346,autocorrelation,0.3585263022,0.08027971047,0.3275699499,0.3008128806,0.407598001,30
6,348,autocorrelation,0.3638345162,0.08430885444,0.3506588936,0.3070953375,0.4149108022,30
6,350,autocorrelation,0.3602473523,0.08251189407,0.3425374214,0.3081866145,0.3935879531,30
6,352,autocorrelation,0.3659092762,0.08164331034,0.3552731088,0.3173306326,0.3871226363,30
6,354,autocorrelation,0.3533666453,0.08097830128,0.3412630584,0.3077262724,0.377422334,30
6,356,autocorrelation,0.3527435099,0.08206276093,0.338001862,0.314091664,0.365528006,30
6,358,autocorrelation,0.3565214831,0.08815216846,0.3300309367,0.310776639,0.3913017191,30
6,360,autocorrelation,0.3557385122,0.08961295187,0.3279746793,0.3078999068,0.3829119508,30
6,362,autocorrelation,0.347194381,0.0877532947,0.3219968652,0.283649952,0.3865103507,30
6,364,autocorrelation,0.3592853556,0.08607896568,0.3486075111,0.3090350067,0.3931181305,30
6,366,autocorrelation,0.3651272706,0.09158243905,0.3414730033,0.3104017741,0.4275371777,30
6,368,autocorrelation,0.3638602676,0.08280738921,0.3333723019,0.3180622431,0.4037565771,30
6,370,autocorrelation,0.3573767833,0.08755894918,0.3468785953,0.2868199714,0.3959999238,30
6,372,autocorrelation,0.3613462433,0.09227212483,0.336232757,0.3030953322,0.3837445999,30
6,374,autocorrelation,0.3636820112,0.09391665135,0.3389693841,0.3071235587,0.4006567715,30
6,376,autocorrelation,0.3737438336,0.0980203665,0.3537687749,0.3077461747,0.4121964092,30
6,378,autocorrelation,0.3664512185,0.1009419289,0.3436584883,0.3222522622,0.4092388593,30
6,380,autocorrelation,0.3559662328,0.1030401731,0.3407168733,0.2910142646,0.3796259968,30
6,382,autocorrelation,0.3713847034,0.1005873839,0.3524084397,0.3200455225,0.409114947,30
6,384,autocorrelation,0.3822693585,0.1003803583,0.3490643267,0.3256589984,0.4228642102,30
6,386,autocorrelation,0.3715586433,0.09905565352,0.3484966568,0.3221983045,0.3890801686,30
6,388,autocorrelation,0.3519153965,0.09997551777,0.3301650199,0.2978599016,0.3819366908,30
6,390,autocorrelation,0.3578877337,0.09457030213,0.3352170423,0.3095806915,0.3833785482,30
6,392,autocorrelation,0.361424408,0.08968720015,0.3375167007,0.3132773199,0.4008907318,30
6,394,autocorrelation,0.3614375533,0.08373557731,0.3420268347,0.3043071804,0.3972683121,30
6,396,autocorrelation,0.3653756252,0.08662228336,0.3401119055,0.3130743954,0.3974928827,30
6,398,autocorrelation,0.3566215571,0.08850311658,0.3403852655,0.298535065,0.3880189979,30
6,400,autocorrelation,0.353393026,0.09097742854,0.3424667025,0.276271479,0.3760412782,30
7,0,autocorrelation,1,4.043112919e-15,1,1,1,30
7,2,autocorrelation,0.4649473228,0.1767058868,0.4486598464,0.3283919793,0.5860979802,30
7,4,autocorrelation,0.3076715504,0.1653802744,0.2467112232,0.1880113985,0.390914106,30
7,6,autocorrelation,0.2556430244,0.1371253239,0.2008313485,0.1703409404,0.282828043,30
7,8,autocorrelation,0.2326581884,0.1155682913,0.1899840614,0.1664260204,0.2389686283,30
7,10,autocorrelation,0.2239835688,0.101963567,0.1931292575,0.1683543681,0.2341997734,30
7,12,autocorrelation,0.2229735355,0.09152813689,0.1894334378,0.178580596,0.2352332139,30
7,14,autocorrelation,0.2259784798,0.08347797647,0.200998432,0.1843217903,0.2342048539,30
7,16,autocorrelation,0.2299200186,0.07742755109,0.2000636145,0.1899314351,0.2426280446,30
7,18,autocorrelation,0.2286743592,0.07490932991,0.2092056327,0.1841306228,0.2454527455,30
7,20,autocorrelation,0.2260318276,0.0712007124,0.2153585415,0.1868174951,0.2369828128,30
7,22,autocorrelation,0.232764214,0.06832471634,0.2130819299,0.1895459403,0.2488397464,30
7,24,autocorrelation,0.2390239452,0.0672339992,0.2283912597,0.2031486258,0.2528476916,30
7,26,autocorrelation,0.2395500696,0.06721507681,0.2294319459,0.1968958782,0.255612373,30
7,28,autocorrelation,0.2404142515,0.06954667426,0.236107708,0.200548831,0.2567041204,30
7,30,autocorrelation,0.2466869472,0.07539596048,0.2360820167,0.1985294052,0.2703309078,30
7,32,autocorrelation,0.2455330081,0.07649729335,0.2248486993,0.1998906992,0.2704419463,30
7,34,autocorrelation,0.2432379097,0.07952955747,0.2275166676,0.1940974299,0.2677814441,30
7,36,autocorrelation,0.2494940399,0.07869710511,0.2315804539,0.199447567,0.2631725366,30
7,38,autocorrelation,0.2613185371,0.08073769793,0.257092789,0.1997993862,0.2830446191,30
7,40,autocorrelation,0.2609199871,0.08616164033,0.2444184534,0.2127444305,0.2847087855,30
